finkd	336693
bgurley	328133
pmarca	324435
tnatsu	307475
DuvalMagic	296614
rsarver	285005
reidhoffman	283147
Fwiz	281400
sivers	277718
therealcliffyb	266521
jkottke	262896
digiphile	250952
jkalucki	249766
paulg	247378
ID_AA_Carmack	235550
nzkoz	235442
myspacetom	228454
abdur	226717
carlmanneh	226195
bs	217338
todsacerdoti	206782
timberners_lee	205174
mollstam	201898
_tomcc	200921
Kappische	195639
jeresig	190628
JahKob	190544
danfrisk	179143
bhorowitz	177947
cdixon	177121
Benioff	166901
paul_irish	162782
robhoward	160362
pschiller	159021
tconrad	158602
CraftBukkit	155916
jonkagstrom	155851
poe1985	155643
NFoles_9	155558
Jalopnik	155046
LucyLiu	155040
umichbball	154994
StationCDRKelly	154977
hanni_davis	154891
demandrichard	154859
PierreGarcon	154823
MaLek	154807
usatodaytech	154551
ralphmarston	154533
RosannaPansino	154355
dukeblueplanet	154063
kevinmitnick	153792
jayrosen_nyu	153351
Taghreedat	153117
UnitedAirlines	153071
Wharton	152874
tanehisicoates	152867
skc1210	152857
whymicrosoft	152831
thesoccerdon	152702
OfficialAmiyah	152675
joshuatopolsky	152644
Pictory	152510
Princeton	152247
thejointstaff	152190
ruskin147	151985
ReaganGomez	151942
UNAIDS	151649
billmckibben	151643
docm77	151511
MorganSpurlock	151307
TayarSha3by	151291
originmagazine	150966
felixsalmon	150935
letsmove	150827
Stefsunyanzi	150757
MariaBartiromo	150716
hazuma	150619
nhk_kurogen	150608
waynecoyne	150592
cinemassacre	150550
googlereader	149838
AlusOfficial	149650
RapRadar	149595
jeffjarvis	149447
unity3d	149313
MaryLynnRajskub	149231
ChopTedAllen	149206
jasonfried	149181
levie	148832
TMobileHelp	148771
tpb	148718
iraglass	148556
randyjackson8	148548
myen	148508
kim	148478
FootballAU	148475
JoyAnnReid	148436
MohmedAlbeltagy	148251
nytpolitics	148004
MasuzoeYoichi	147943
Asadx	147865
LumiaUS	147626
XboxP3	147593
Money23Green	147386
ihoudaiby	147293
miyasan_bot	147267
SnoopLion	147104
nagano_t	147002
elnadeem	146675
RickSanchezTV	146634
akaWorf	146439
qz	146380
ElBaradeiii	146328
JayPharoah	146302
dongatory	145925
kalimakhus	145882
TomoMachi	145768
hellomag	145668
team_nakagawa	145657
MsLaurynHill	145555
make	145500
frontlinepbs	145451
GloriaSteinem	145141
nilerodgers	145090
AllieBrosh	144559
PauseUnpauses	144483
slashdot	144419
InsideCHIKIRIN	143725
SharonHayes	143512
GrantaMag	143495
_grum	143484
officialLizz	143446
WeCanEndPoverty	143317
edXOnline	143257
akselsvindal	143191
MichaelSkolnik	143170
NotifyNYC	143100
mdweesh	142807
iwakamiyasumi	142755
JasonReitman	142701
klustout	142670
timyoung	142616
EllenBarkin	142531
mezzoblue	142493
Assaadtaha	142368
NY1weather	142190
joanwalsh	142104
alisonhaislip	142087
lilianwagdy	141928
conniebritton	141919
anywhere	141838
Bill_Gross	141783
TheAnonMessages	141539
KillerMikeGTO	141451
wwww_wwww_wwww	141192
Tanigaki_S	141179
Bey2ollak	140873
prezi	140695
NYTimesDowd	140643
WillSasso	140528
JohnTheCho	140359
moeager	140312
RoyalCaribbean	140302
Murakami_Haruki	139981
CreativeLive	139974
cyanogen	139964
GuardianUS	139868
JohnLithgow	139788
davidchang	139763
postpolitics	139653
thedaveywavey	139581
hat_films	139523
SenGillibrand	139449
zeynep	139423
NetoSanRoman	139365
spartacus_starz	139277
negadelborai	139046
Pistachio	138883
TPPatriots	138807
Martina	138754
dhh	138733
the_intercept	138703
USChamber	138659
levinassien	138588
TUAW	138574
Kasparov63	138322
salmasaid	138246
danacarvey	138233
uxmag	138122
girleffect	137951
zarias	137923
Bassel_adel	137902
shuntorigoe	137888
Visually	137771
bubs	137580
edlevine	137424
yaseralzayat	137326
gchahal	137303
RichardWiseman	137277
Kitsch_Matsuo	137260
ChrisPirillo	137088
grader	136997
nest	136856
Retweets4Writer	136851
AB_Basketball	136811
rkmt	136620
tonyblairoffice	136606
HowardKurtz	136576
HarvardChanSPH	136523
joebelfiore	136514
ahramonline	136416
TheOrlandoJones	136272
AlexTheMauler	136016
assiazar	135993
AlyaaGad	135943
justbobbibrown	135928
chrisguillebeau	135922
mattyglesias	135921
taptaptap	135769
ThaboSefolosha	135749
guyoseary	135703
Ai_Tominaga	135653
sgblank	135622
KrisJelbring	135602
MarkBurnettTV	135511
talenthouse	135415
shikaosuga	135208
StartupWeekend	134985
mizuhofukushima	134945
GuudeLP	134828
Sassafrantz	134821
ThinkwithGoogle	134801
penelopetrunk	134753
chriscoyier	134569
MojangSupport	134459
SybrinaFulton	134170
VanJones68	134123
squarespace	134021
fancy	133984
The_T	133634
hyakutanaoki	133581
ilazer	133534
bataleh	133526
MorningEdition	133417
MiaHamm	133400
thedanieb	133320
RobertPlant	133293
ShaunKing	133293
elizabethforma	133248
FDNY	133213
AymanM	133191
jakeandamir	133072
CTurlington	132957
deray	132739
SatoMasahisa	132682
sundarpichai	132670
shanesmith30	132642
JohnLeguizamo	132379
yojizen	132270
OnePerfectShot	132258
TheRealDratch	132234
fotc	131916
Janina	131791
xlson	131610
jemimakiss	131605
BRIANMBENDIS	131448
RubberNinja	131360
iMore	131057
razzadoop	131036
MSDN	130924
buenothebear	130891
ota324	130848
Toure	130841
SarcasticRover	130556
Blackberry_News	130506
ahmada2	130479
FatboySlim	130464
mranti	130027
mizunoyoshiki	129988
Gsquare86	129851
jscandalp	129817
Atul_Gawande	129755
jaltucher	129705
hecaitou	129594
zeebrathedaddy	129389
CharlesMBlow	129283
TammyCamp	129242
Poynter	129208
SFist	129175
Minervity	129098
FadikAtasoy	128941
socialbakers	128544
NoLabelsOrg	128339
matsudakouta	128207
EYnews	128205
mlevchin	128195
msjwilly	128140
AnwarGargash	127977
titojackson5	127759
MHPshow	127715
rezaaslan	127581
tawara_machi	127552
markos	127404
hayano	127355
davepeck	127233
paulsoaresjr	126939
mozilla	126934
charlierose	126927
cairusso	126840
yoshidahisanori	126525
AmznMovieRevws	126464
NoorNoor1	126305
AudraEqualityMc	126175
jermaineoneal	126079
adamsconsulting	125823
GeorgiaMJagger	125716
bbrowner27	125674
IndiaHistorypic	125541
kathyireland	125460
TakeItFromUsPR	125448
brooklynvegan	125444
symantec	125409
waitwait	125360
Japan_Olympic	125358
tom_peters	125352
TeachForAmerica	125325
fukudamoe	125127
MollyRingwald	124897
gehrig38	124851
lukew	124751
hblodget	124736
loic	124592
GeorgeMonbiot	124581
carnalizer	124572
drewhouston	124412
w3c	124351
judyblume	124270
duplaselton	124218
blog44	124094
GlobalFund	124049
petersagal	123899
morgan_murphy	123792
YouTubeNation	123753
UpshotNYT	123562
CompSciFact	123498
kpcb	123434
BeschlossDC	123372
OfficialKimlee	123337
paulsingh	123327
comScore	123264
TheAshleySky	123258
Astro_Wheels	123154
KatrinaNation	123123
lakebell	123007
JMotte30	122784
MattBarkley	122711
VicMensa	122644
8bit_HORIJUN	122618
youngthegiant	122353
aasif	122227
Marketingland	122108
Leisha_Hailey	121993
AndrewRannells	121904
Asashoryu	121832
bobbyllew	121588
DiggSupport	121475
MsJillMJones	121423
NandiMngoma	121417
marilink	121315
FinEmbTokyo	121263
mrmattwalsh	121067
andersonlive	121031
EuSentimento	120923
lizmeriwether	120855
kurikiyama	120746
ramonashelburne	120736
masui	120706
hilaryr	120701
JustinJamesDJ	120685
bencnn	120505
TwitterDev	120349
SadeOfficial	120275
AntonioFrench	120136
jeffgerstmann	120082
MagicSauceMedia	120018
cwgabriel	119972
PopeTawadros	119963
Cornell	119801
joyvalencia	119760
aimeemann	119734
khatami_ir	119624
BabaRamDass	119150
andrewbogut	118965
gates_mcfadden	118917
BIJUTSUTECHO	118913
michinara3	118663
yoda	118634
abbijacobson	118619
JoeHobot	118571
avantgame	118522
GLEETV	118402
Woodstock	118296
djshadow	118233
SuperMeatBoy	118070
danieldennett	118029
CNBCnow	117617
SlaughterAM	117616
Colossal	117560
YahooCelebrity	117557
intlCES	117506
VerizonSupport	117425
jonronson	117032
meganhilty	116975
utumikeiko	116817
account_kkojima	116767
Fred_Willard	116652
dambisamoyo	116532
MonsterProducts	116331
Columbia	116216
asano_inio	116114
sullydish	116054
SheriSalata	115855
naval	115732
zefrank	115648
shelbyfero	115636
jonathancoulton	115547
hbkr	115540
LydiaWinters	115393
JeanGreasy	115390
Accel	115388
jurneesmollett	115282
Iearnsomething	115185
WesleyLowery	115171
journalismnews	115167
Caterina	115082
