,,226.309375,213.335625,142.423125,49.585625,194.7865625,118.95875,61.40875,311.4415625,34.8403125,109.5984375,208.6653125,360.2040625,61.87875,388.991875,312.8278125,162.0496875,42.774375,44.53125,108.2034375,223.1315625,0,8.1409375,327.1915625,0,498.940625,286.5909375,281.7815625,47.02875,18.030625,37.39625,1101.924375,186.75,1,42.9375,0,611.9696875,22.4078125,49.25,399.58125,13.96875,187.255625,111.1946875,112.8265625,0,227.5125,37.848125,1,158.2265625,248.890625,145.680625,24.6646875,27.9371875,0,85.3215625,1130.26125,475.954375,8.4215625,164.326875,11.57625,0,2.8603125,50.599375,0,57.5825,1.8003125,43.6653125,30.3125,387.29625,17.7753125,273.19375,62.7653125,50.6559375,122.0240625,67.25,0,20.1265625,67.89375,1.4440625,17.5,17.27625,144.0925,90.153125,201.684375,1,109.0453125,33.0375,47.766875,50.703125,106.96875,4.125,12.041875,1442.568125,205.7859375,16.40625,122.376875,36.78125,2.869375,31.2109375,39.64375,64.616875,5,12.396875,10.25,614.9909375,3.25,24.0625,5.0253125,0,132.82875,20.91125,42,0,12.96875,230.7128125,272.91875,141.6434375,24.535625,61.34875,20.84375,0,273.98375,139.671875,10.625,0,52.4440625,20.78125,52.695625,3.1021875,736.11875,59.785,0,105.905625,41.57875,31.28125,772.9625,45.6375,3.28125,22.44625,0,52.554375,123.14125,5.7153125,193.5071875,2.643125,1,5.110625,0,1,7.2778125,0,0,54.0625,3,13.5725,0,44.93125,32.4075,82.191875,34.5309375,0,68.440625,63.73,130.5034375,32.5,121.6934375,127.235,604.1871875,8.15625,126.00625,34.988125,56.0690625,0,179.2340625,20.890625,122.5625,17.2225,0,125.79875,121.8584375,29.09375,0,31.875,70.78125,0,1,79.8775,8.3590625,81.4028125,17.5459375,0,3.005,113.985625,5,60.7384375,14.628125,88.31125,28.3125,142.33375,8.5,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BillGates,timoreilly,Pogue,ericschmidt,waltmossberg,codinghorror,martinfowler,shanselman,spolsky,KentBeck,jack,masason,biz,notch,elonmusk,ev,TEDchris,Padmasree,kevinrose,dickc,noaheverett,Ghonim,om,kaifulee,jeb_,tim_cook,karaswisher,marissamayer,MichaelDell,majornelson,kenichiromogi,alaa,onambiguity,Chad_Hurley,leolaporte,anildash,pierre,SethBling,Dinnerbone,mikeyk,mattcutts,satyanadella,saurik,stevewoz,johnmaeda,chadfowler,john,ginatrapani,jbernhardsson,zeldman,pod2g,evad3rs,finkd,bgurley,pmarca,tnatsu,DuvalMagic,rsarver,reidhoffman,Fwiz,durov,DavidVonderhaar,Gronkh,MichaelCondrey,sivers,therealcliffyb,jkottke,digiphile,jkalucki,paulg,HIDEO_KOJIMA_EN,iH8sn0w,ID_AA_Carmack,nzkoz,myspacetom,abdur,carlmanneh,bs,todsacerdoti,timberners_lee,mollstam,_tomcc,Kappische,vpieters,jeresig,JahKob,p0sixninja,danfrisk,bhorowitz,noobde,minliangtan,cdixon,Benioff,IGLevine,paul_irish,srlm,robhoward,pschiller,tconrad,jonkagstrom,preillyme,demandrichard,shoemoney,levie,dongatory,_grum,mezzoblue,a,dhh,JD_2020,rkmt,e_kaspersky,joebelfiore,i0n1c,KrisJelbring,chriscoyier,sundarpichai,xlson,jemimakiss,RiotPendragon,lukew,carnalizer,drewhouston,ZacheryNielson,paulsingh,austinnotduncan,scottgu,chpwn,RamyRaoof,jimmy_wales,JonCrawford,zephoria,rocket2guns,LoaiNagati,ZeinabSamir,Joi,pmolyneux,l2k,sorenmacbeth,mkapor,sarahcuda,anamitra,addyosmani,akirareiko,wol_lay,skonnard,jsa,AquaXetine,f,Swiftor,DaveSumter,RanaASaid,AkihiroHino,habibh,ChrisMetzen,gr33ndata,simplebits,andrewchen,EdmundMcMillenn,stanleytang,meyerweb,BomuBoi,ryan,Harada_TEKKEN,marcoarment,tha_rami,sama,willsmith,reckless,br,travisk,larryellison,harrymccracken,EvilSeph,ibogost,jeff,fart,photomatt,dens,Arubin,j_smedley,SamFURUKAWA,PG_kamiya,scottebales,aaronwall,chrismessina,tinyBuild,Jonathan_Blow,kevin,Goldman44,stephenlrose,pgeuder,JeremyCMorgan,Pentadact,t,Werner,tanakaryusaku,beep,chrisremo,petecashmore
BillGates,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timoreilly,34200,10.6875,0,21.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6875,0,0,10.6875,0,0,0,0,0,0,0,0,0,42.75,0,0,0,0,53.4375,0,0,0,10.6875,0,0,0,0,0,0,0,0,10.6875,64.125,0,0,32.0625,0,0,0,0,0,0,0,0,0,203.0625,0,32.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.4375,0,0,0,0,0,0,0,0,0,0,0,53.4375,0,0,0,0,10.6875,0,0,0,0,0,0,0,0,0,0,0,10.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.375,0,0,21.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,3,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pogue,7086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.214375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ericschmidt,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waltmossberg,9907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.3984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0959375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.191875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
codinghorror,43800,0,13.6875,0,0,0,0,0,13.6875,0,0,0,0,0,13.6875,0,0,0,0,0,0,0,0,0,0,0,13.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.375,0,0,0,0,0,0,0,0,27.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.375,0,0,27.375,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6875,0,0,0,0,0,0,27.375,0,0,0,0,13.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6875,0,13.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martinfowler,5181,0,3.238125,0,0,0,1.6190625,0,6.47625,1.6190625,24.2859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6190625,0,0,0,0,0,0,0,0,0,1.6190625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6190625,0,17.8096875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.238125,0,0,0,0,0,0,0,0,0,1.6190625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6190625,0,0,0,0,0,2,0,0,0,1,0,4,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
shanselman,128000,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
